!	0-54	55-57	58-59	60-61	62-64	65-68	69-71	72-75	76-81	82-88	89-96	97-108
!	!	!	!	!	!	!	!	!	!	!	!	!
!	4.08	3.80	3.48	3.48	4.08	3.80	2.88	3.48	3.48	3.48	3.48	3.80
!	!	!	0.4	0.4	!	!	!	0.4	0.4	0.4	0.4	!
!	1	1	1	1	1	1	1	1	1	1	1	1
?	?	?	?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	88	88	88	109
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	31	32	32	13
!	!	!	!	!	!	!	!	!	!	!	!	!
!	2110	2110	2110	2110	2110	2110	2110	2110	2110	2110	2110	1910
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006
!	!	!	!	!	!	!	!	!	!	!	!	!
!	2.880	2.880	2.880	2.880	2.880	2.880	2.880	2.880	2.880	2.880	2.880	2.880
!	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3
!	0.360	0.360	0.360	0.360	0.360	0.360	0.360	0.360	0.360	0.360	0.360	0.360
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
!	7.349	7.349	6.361	5.011	5.011	5.011	5.011	5.011	5.011	5.011	5.011	4.529
!	100.0	100.0	93.7	90.5	86.3	83.2	76.9	71.6	67.4	62.2	59.0	56.9
!	0.553	0.553	0.553	0.553	0.553	0.553	0.553	0.553	0.553	0.553	0.553	0.553
!	!	!	!	!	!	!	!	!	!	!	!	!
!	1912	1912	1912	1912	1912	1912	1912	1912	1800	1800	1800	1575
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.510	0.510	0.510	0.510	0.510	0.510	0.510	0.510	0.510	0.510	0.510	0.510
!	5.379	5.379	5.379	5.379	5.379	5.379	5.379	5.379	5.379	5.379	5.379	5.379
!	10	10	10	10	10	10	10	10	10	10	10	10
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010
!	5.379	5.379	5.379	5.379	5.379	5.379	5.379	5.379	5.379	5.379	5.379	5.379
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
!	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
