!	56-65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	7.48	!	1.20	1.20	1.20	2.40	1.28	3.80	1.20	1.48	!	!	!	1.48	2.40	4.48	9.88	0.60	!	1.20	!	!	!
!	0.4	25.6	-27.9	-31.8	-41.3	-39.7	26.4	26.4	26.4	19.3	25.6	26.4	25.6	-24.7	-27.1	-50.0	-50.0	31.9	25.6	24.8	-37.3	-31.0	0.4
!	!	1	1	1	!	!	1	1	!	!	!	!	!	!	!	!	1	!	1	1	!	1	1
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	44	80	74	80	81	82	79	83	84	84	87	94	100	90	94	88	93	83	94	95	97	95	104
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	35	35	-10	-9	-1	-1	-25	-25	21	19	-1	-1	-1	4	-48	4	!	-1	-47	-30	-1	-27	35
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	1840	1840	1840	1840	1840	1840	1840	1840	1840	1840	1840	1840	1840	1840	1840	1840	1840	!	!	2970	1840	1840	1030
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	0.006	0.006	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	0.138	0.138	0.138	0.012	0.019	0.046	0.391	!	!	!	!	!	!	!	0.138	0.012	!	0.138	0.138	!	!	0.012
!	!	2.210	1.440	1.670	!	!	0.528	0.112	!	!	!	!	!	!	!	!	2.890	!	1.060	3.811	!	0.282	2.731
!	!	100.0	100.0	100.0	!	!	100.0	100.0	!	!	!	!	!	!	!	!	100.0	!	100.0	100.0	!	100.0	100.0
!	1.730	2.210	1.360	1.730	5.339	5.339	0.528	0.610	5.339	5.339	5.339	5.339	5.339	5.339	5.339	5.611	3.060	1.040	1.060	3.811	5.339	0.654	2.890
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	0.032
!	1.610	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	7.049	!	!	2.440	!	!	3.230
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	100.0	!	!	100.0	!	!	100.0
!	1.560	5.611	5.611	5.611	5.339	5.339	5.611	5.611	5.339	5.339	5.339	5.339	5.339	5.339	5.339	5.611	7.890	1.040	1.060	5.011	5.339	5.339	5.339
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	75
!	3375	3375	3375	3375	3375	3375	3375	3375	3375	3375	3375	3375	3375	3375	3375	3375	3375	!	!	2925	3375	3375	2812
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010
!	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010
!	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	2	2	5	5	!	!	!	4	4	3	3	!	!	!	!	6	6
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
