!	34	36-41	43	45	47	48	50
!	!	!	!	!	!	!	!
!	6.00	1.20	5.68	5.68	5.68	5.68	5.68
!	0.4	0.4	-30.2	-14.5	0.4	11.4	11.4
!	1	!	!	!	!	!	!
?	?	?	?	?	?	?	?
!	45	47	76	75	74	74	74
!	!	!	!	!	!	!	!
!	-50	-6	-6	-6	-6	-6	-6
!	!	!	!	!	!	!	!
!	!	!	!	7209	6971	6508	4961
!	!	!	2.7	3.3	3.0	2.8	2.8
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	0.055	0.012	!	!	!	!	!
!	1.650	!	3.230	2.731	2.430	1.820	1.470
!	100.0	!	100.0	100.0	100.0	100.0	100.0
!	1.840	2.580	2.890	2.071	1.950	1.650	1.390
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	1.040	1.040	1.040	1.040	1.040	1.040	1.040
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010
!	5.130	5.130	5.130	5.130	5.130	5.130	5.130
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010
!	5.130	5.130	5.130	5.130	5.130	5.130	5.130
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	7.0	5.0	7.0	7.0	7.0	7.0	7.0
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
