!	58-60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	7.48	!	1.80	1.20	0.60	!	!	1.20	1.20	1.20	2.40	1.28	3.80	1.20	1.48	!	!	!	1.48	2.40	4.48	9.88	0.60	!	1.20	!	!	!	1.48
!	0.4	23.2	-23.2	-25.5	-25.5	25.6	25.6	-27.9	-31.8	-41.3	-39.7	26.4	26.4	26.4	19.3	25.6	26.4	25.6	-24.7	-27.1	-50.0	-50.0	31.9	25.6	24.8	-37.3	-31.0	0.4	!
!	!	!	!	1	1	1	1	1	1	!	!	1	1	!	!	!	!	!	!	!	!	1	!	1	1	!	1	1	1
!	!	!	!	100.0	100.0	100.0	100.0	100.0	100.0	!	!	100.0	100.0	!	!	!	!	!	!	!	!	100.0	!	100.0	100.0	!	100.0	100.0	!
!	1.730	5.339	5.339	2.890	1.730	2.320	2.210	1.360	1.730	5.339	5.339	0.528	0.610	5.339	5.339	5.339	5.339	5.339	5.339	5.339	5.611	3.060	1.040	1.060	3.811	5.339	0.654	2.890	1.360
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	0.032	!
!	1.610	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	7.049	!	!	2.440	!	!	3.230	5.011
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	100.0	!	!	100.0	!	!	100.0	!
!	1.560	5.339	5.339	5.339	5.611	5.611	5.611	5.611	5.611	5.339	5.339	5.611	5.611	5.339	5.339	5.339	5.339	5.339	5.339	5.339	5.611	7.890	1.040	1.060	5.011	5.339	5.339	5.339	8.709
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	75	!
!	3375	3375	3375	3375	3375	3375	3375	3375	3375	3375	3375	3375	3375	3375	3375	3375	3375	3375	3375	3375	3375	3375	!	!	2925	3375	3375	2812	7087
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010
!	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	4.289
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	0.1
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010
!	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130	4.289
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	2	2	5	5	!	!	!	4	4	3	3	!	!	!	!	6	6	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
